STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE,Election_Year
Ohio,OH,5607641,9028098.0,2.4,51666.0,0.0,0.0,51666.0,8759758.0,64.02,62.11,2016
Oklahoma,OK,1465505,2972077.0,4.7,26691.0,33562.0,1895.0,47716.0,2784673.0,52.63,49.31,2016
Oregon,OR,2056310,3233909.0,6.3,15166.0,0.0,0.0,15166.0,3015007.0,68.2,63.59,2016
Pennsylvania,PA,6223150,10114662.0,3.7,48098.0,0.0,0.0,48098.0,9692322.0,64.21,61.53,2016
Rhode Island,RI,469589,848850.0,7.1,3038.0,0.0,0.0,3038.0,785544.0,59.78,55.32,2016
South Carolina,SC,2123584,3881185.0,3.4,20350.0,32634.0,4347.0,43298.0,3705927.0,57.3,54.71,2016
South Dakota,SD,378995,651179.0,2.5,3744.0,0.0,2687.0,6431.0,628468.0,60.3,58.2,2016
Tennessee,TN,2545271,5162937.0,3.5,27906.0,62609.0,12092.0,75685.0,4906550.0,51.87,49.3,2016
Texas,TX,8975000,20718271.0,13.3,155327.0,374285.0,111287.0,479956.0,17482785.0,51.34,43.32,2016
Utah,UT,1152369,2139328.0,6.9,5846.0,0.0,0.0,5846.0,1985869.0,58.03,53.87,2016
Vermont,VT,320467,505888.0,2.2,0.0,0.0,0.0,0.0,494758.0,64.77,63.35,2016
Virginia,VA,3996302,6556247.0,6.9,36959.0,60821.0,1650.0,73277.0,6030589.0,66.27,60.95,2016
Washington,WA,3363440,5693791.0,8.6,18335.0,89317.0,11322.0,80568.0,5123557.0,65.65,59.07,2016
West Virginia,WV,732362,1454560.0,1.1,7137.0,6523.0,3550.0,14405.0,1424155.0,51.42,50.35,2016
Wisconsin,WI,2993000,4493054.0,3.2,22889.0,44489.0,20401.0,68649.0,4280628.0,69.92,66.61,2016
Wyoming,WY,258788,446228.0,2.4,2323.0,4666.0,842.0,5825.0,429694.0,60.23,57.99,2016
Alabama,AL,2083309,3705982.0,2.6,32232.0,57993.0,8616.0,71584.0,3538042.0,58.88,56.21,2012
Alaska,AK,301694,544269.0,3.8,5633.0,7173.0,1882.0,11317.0,512270.0,58.89,55.43,2012
Arizona,AZ,2323579,4963741.0,9.9,35188.0,72452.0,7460.0,81048.0,4391282.0,52.91,46.81,2012
Arkansas,AR,1078548,2244163.0,3.5,14471.0,30122.0,23372.0,53808.0,2111810.0,51.07,48.06,2012
California,CA,13202158,28871296.0,17.4,119455.0,0.0,89287.0,208742.0,23638949.0,55.85,45.73,2012
Colorado,CO,2596173,3980623.0,6.9,18807.0,0.0,11458.0,30265.0,3675695.0,70.63,65.22,2012
Connecticut,CT,1560640,2804156.0,8.5,16935.0,0.0,2793.0,19728.0,2546075.0,61.3,55.65,2012
Delaware,DE,417631,714081.0,5.1,6610.0,15641.0,601.0,15501.0,662162.0,63.07,58.49,2012
District of Columbia,DC,294254,531080.0,9.7,0.0,0.0,0.0,0.0,479566.0,61.36,55.41,2012
Florida,FL,8538264,15367936.0,10.8,91954.0,240869.0,4538.0,224153.0,13484046.0,63.32,55.56,2012
Georgia,GA,3919355,7441387.0,7.2,52737.0,442061.0,24761.0,311790.0,6593817.0,59.44,52.67,2012
Hawaii,HI,437159,1091451.0,9.2,5544.0,0.0,0.0,5544.0,985494.0,44.36,40.05,2012
Idaho,ID,666290,1172481.0,4.6,7985.0,31606.0,3848.0,28584.0,1089963.0,61.13,56.83,2012
Illinois,IL,5279752,9838883.0,8.9,49348.0,0.0,0.0,49348.0,8913874.0,59.23,53.66,2012
Indiana,IN,2663368,4959521.0,3.6,28266.0,0.0,0.0,28266.0,4752712.0,56.04,53.7,2012
Iowa,IA,1589951,2356497.0,3.2,8470.0,29333.0,5151.0,29167.0,2251922.0,70.6,67.47,2012
Kansas,KS,1182771,2162245.0,5.0,9346.0,17021.0,5126.0,23493.0,2030640.0,58.25,54.7,2012
Kentucky,KY,1815843,3374444.0,2.2,21863.0,54511.0,14419.0,65173.0,3235034.0,56.13,53.81,2012
Louisiana,LA,2014548,3495424.0,2.7,40047.0,41298.0,28946.0,90881.0,3310167.0,60.86,57.63,2012
Maine,ME,724758,1063754.0,1.8,0.0,0.0,0.0,0.0,1044606.0,69.38,68.13,2012
Maryland,MD,2734062,4552894.0,8.9,20871.0,96640.0,13195.0,85285.0,4062401.0,67.3,60.05,2012
Massachusetts,MA,3184196,5278131.0,8.4,10283.0,0.0,0.0,10283.0,4824485.0,66.0,60.33,2012
Michigan,MI,4780701,7637478.0,3.5,43019.0,0.0,0.0,43019.0,7327148.0,65.25,62.6,2012
Minnesota,MN,2950780,4111021.0,4.4,9383.0,108157.0,6006.0,72712.0,3857424.0,76.5,71.78,2012
Mississippi,MS,1285584,2245738.0,1.5,22305.0,30768.0,6804.0,45416.0,2166636.0,59.34,57.25,2012
Missouri,MO,2840776,4627371.0,2.5,30714.0,55470.0,20672.0,80785.0,4430901.0,64.11,61.39,2012
Montana,MT,491966,783676.0,0.9,3592.0,0.0,0.0,3592.0,773031.0,63.64,62.78,2012
Nebraska,NE,804245,1394124.0,4.7,4466.0,14260.0,1383.0,13407.0,1315193.0,61.15,57.69,2012
Nevada,NV,1016664,2099011.0,13.3,12883.0,11321.0,5379.0,24262.0,1795581.0,56.62,48.44,2012
New Hampshire,NH,718700,1050220.0,3.0,2672.0,0.0,0.0,2672.0,1016041.0,70.74,68.43,2012
New Jersey,NJ,3683638,6826144.0,12.1,21759.0,114886.0,14987.0,97636.0,5902545.0,62.41,53.96,2012
New Mexico,NM,786522,1576959.0,7.3,6553.0,21381.0,5078.0,22963.0,1438878.0,54.66,49.88,2012
New York,NY,7128852,15334363.0,12.5,49889.0,0.0,46222.0,96111.0,13321457.0,53.51,46.49,2012
North Carolina,NC,4542488,7500448.0,6.1,35567.0,96070.0,4359.0,90843.0,6952078.0,65.34,60.56,2012
North Dakota,ND,325564,548770.0,1.7,1500.0,0.0,0.0,1500.0,537941.0,60.52,59.33,2012
Ohio,OH,5632423,8894484.0,2.2,50313.0,0.0,0.0,50313.0,8648493.0,65.13,63.32,2012
Oklahoma,OK,1343380,2886686.0,4.5,25225.0,25506.0,2310.0,41053.0,2715732.0,49.47,46.54,2012
Oregon,OR,1820507,3046864.0,6.6,13607.0,0.0,0.0,13607.0,2832164.0,64.28,59.75,2012
